URL,company_name,sector,subsector,founded_year,hq_country,hq_state,hq_city,is_usa,n_investors,total_funding_usd
https://forgeglobal.com/0x_stock/,0x,Fintech,Other Fintech,2016,United States,CA,San Francisco,True,6,
https://forgeglobal.com/100-thieves_stock/,100 Thieves,Consumer & Lifestyle,Gaming,2017,United States,CA,Los Angeles,True,0,120020000.0
https://forgeglobal.com/1047-games_stock/,1047 Games,Consumer & Lifestyle,Gaming,2016,United States,NV,Zephyr Cove,True,0,0.12
https://forgeglobal.com/10x-genomics-inc_stock/,"10x Genomics, Inc.",Healthcare,Biotech & Pharma,2012,United States,CA,Pleasanton,True,0,222590000.0
https://forgeglobal.com/11x_stock/,11x,Enterprise Software,Communication & Collaboration Software,2022,United States,CA,San Francisco,True,0,76530000.0
https://forgeglobal.com/128-technology_stock/,128 Technology,Enterprise Software,Cloud /​ Networking Infrastructure,2014,United States,MA,Burlington,True,0,
https://forgeglobal.com/1366-technologies_stock/,1366 Technologies,Technology Hardware,Computing Hardware,2008,United States,MA,Bedford,True,0,
https://forgeglobal.com/15five_stock/,15Five,Enterprise Software,Other Enterprise Software,2011,United States,CA,San Francisco,True,0,
https://forgeglobal.com/1kosmos_stock/,1Kosmos,Enterprise Software,Cloud /​ Networking Infrastructure,2017,United States,NJ,Iselin,True,0,
https://forgeglobal.com/1life-healthcare_stock/,1Life Healthcare,Healthcare,Other Healthcare,2002,United States,CA,San Francisco,True,0,
https://forgeglobal.com/1more_stock/,1MORE,Consumer & Lifestyle,Consumer Electronics,2015,China,,Shenzhen,False,3,
https://forgeglobal.com/1password_stock/,1Password,Enterprise Software,Cybersecurity,2005,Canada,,Toronto,False,3,
https://forgeglobal.com/1qbit_stock/,1QBit,Enterprise Software,Productivity,2012,Canada,,Vancouver,False,0,
https://forgeglobal.com/1stdibs_stock/,1stdibs,Consumer & Lifestyle,E-commerce,2001,United States,NY,New York,True,4,224050000.0
https://forgeglobal.com/1x_stock/,1x,Industrial,Robotics,2014,Norway,,Moss,False,11,
https://forgeglobal.com/23andme_stock/,23andMe,Healthcare,Healthcare Providers & Services,2006,United States,CA,Sunnyvale,True,4,876610000.0
https://forgeglobal.com/247-ai_stock/,[24]7.ai,Enterprise Software,Sales & Marketing /​ Adtech,2000,United States,CA,Campbell,True,1,
https://forgeglobal.com/24m_stock/,24M,Energy,Energy Storage,2010,United States,MA,Cambridge,True,11,511660000.0
https://forgeglobal.com/280-earth_stock/,280 earth,Industrial,Manufacturing,2022,United States,CA,Mountain View,True,3,112720000.0
https://forgeglobal.com/3d-robotics_stock/,3DR,Industrial,Industrial Software,2009,United States,CA,Chula Vista,True,9,168620000.0
https://forgeglobal.com/3t-biosciences_stock/,3T Biosciences,Healthcare,Biotech & Pharma,2017,United States,CA,South San Francisco,True,11,
https://forgeglobal.com/4c_stock/,4C,Enterprise Software,Sales & Marketing /​ Adtech,2012,Sweden,,stockholm,False,0,
https://forgeglobal.com/4d-molecular-therapeutics-4dmt_stock/,4D Molecular Therapeutics (4DMT),Healthcare,Biotech & Pharma,2013,United States,CA,Emeryville,True,0,
https://forgeglobal.com/4dreplay_stock/,4DReplay,Industrial,Industrial Equipment,2016,United States,CA,South San Francisco,True,0,31500000.0
https://forgeglobal.com/4info_stock/,4Info,Enterprise Software,Sales & Marketing /​ Adtech,2004,United States,CA,San Jose,True,0,
https://forgeglobal.com/5ire_stock/,5ire,Fintech,Blockchain Software,2021,United Arab Emirates,,Dubai,False,0,
https://forgeglobal.com/5miles_stock/,5miles,Consumer & Lifestyle,E-commerce,2014,China,,Beijing,False,0,
https://forgeglobal.com/6k_stock/,6K,Industrial,Materials,2007,United States,MA,North Andover,True,9,337560000.0
https://forgeglobal.com/6sense_stock/,6sense,Enterprise Software,Sales & Marketing /​ Adtech,2012,United States,CA,San Francisco,True,4,525799997.08
https://forgeglobal.com/75f_stock/,75F,Industrial,Construction,2012,United States,MN,Bloomington,True,7,
https://forgeglobal.com/8base_stock/,8base,Enterprise Software,Productivity,2017,United States,FL,Miami,True,7,
https://forgeglobal.com/8fig_stock/,8fig,Enterprise Software,Productivity,2020,United States,TX,Austin,True,8,71530000.0
https://forgeglobal.com/8i_stock/,8i,Enterprise Software,Data Intelligence,2014,United States,CA,Los Angeles,True,21,506600.0
https://forgeglobal.com/908-devices_stock/,908 Devices,Healthcare,Biotech & Pharma,2012,United States,MA,Boston,True,0,
https://forgeglobal.com/98point6_stock/,98point6,Healthcare,Digital Health,2015,United States,WA,Seatle,True,0,267220000.0
https://forgeglobal.com/99designs_stock/,99designs,Consumer & Lifestyle,Other Consumer & Lifestyle,2008,United States,CA,Oakland,True,0,
https://forgeglobal.com/99minutos_stock/,99minutos,Industrial,Logistics,2013,Mexico,,Mexico City,False,0,
https://forgeglobal.com/a2-biotherapeutics_stock/,A2 Biotherapeutics,Healthcare,Biotech & Pharma,2017,United States,CA,Agoura Hills,True,0,287630000.0
https://forgeglobal.com/a24-films_stock/,A24 Films,Consumer & Lifestyle,Entertainment,2012,United States,NY,New York,True,1,
https://forgeglobal.com/aalo-atomics_stock/,Aalo Atomics,Energy,Clean Energy,2023,United States,TX,Austin,True,21,133260000.0
