URL,Company,Headquarters,Sector,Subsector,Founded,Total Funding,Investors
https://forgeglobal.com/lakera-ai_stock/,Invest and Sell Lakera AI Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Cybersecurity,2020,,"Creative Destruction Lab, Redalpine Venture Partners, Inovia Capital, Hammer Team, Fly Ventures"
https://forgeglobal.com/lambda-school_stock/,Invest and Sell BloomTech Stock - Forge,"San Francisco, CA, United States",Education,E-Learning,2017,,NA
https://forgeglobal.com/lambda_stock/,Invest and Sell Lambda Stock - Forge,"San Jose, CA, United States",Enterprise Software,Cloud /​ Networking Infrastructure,2012,,"Us Innovative Technology Fund, Invariantes Fund, Iag Capital Partners, Alpha Square Group, Macquarie Group, Zventures, Mana Ventures, Quiet Capital, Hilltop Venture Partners, Archer Venture Capital, Redefine Ventures, Savano Capital Partners, Marlin Equity Partners, Veligera Capital, Alumni Ventures, Assured Asset Management"
https://forgeglobal.com/lambdatest_stock/,Invest and Sell LambdaTest Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Software Development,2017,,NA
https://forgeglobal.com/landbase_stock/,Invest and Sell Landbase Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Sales & Marketing /​ Adtech,2023,,NA
https://forgeglobal.com/landing_stock/,Invest and Sell Landing Stock - Forge,"Birmingham, AL, United States",Consumer & Lifestyle,Travel & Hospitality,2019,,"Greycroft, Delta-V Capital, Foundry Group"
https://forgeglobal.com/landis_stock/,Invest and Sell Landis Stock - Forge,"Sea Isle City, NJ, United States",Real Estate,Real Estate Products & Services,2018,,"Operator Partners, Gv, Sequoia Capital, Second Century Ventures"
https://forgeglobal.com/langai_stock/,Invest and Sell Lang.ai Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Productivity,2018,,NA
https://forgeglobal.com/langchain_stock/,Invest and Sell LangChain Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Software Development,2022,,"Lux Capital, Sequoia Capital, Amplify Partners, Benchmark Capital, Conviction Partners"
https://forgeglobal.com/lanister_stock/,Invest and Sell Lanistar Stock - Forge,"London, United Kingdom",Industrial,Other Industrial,2023,,Silicon Valley Partners
https://forgeglobal.com/lanzajet_stock/,Invest and Sell LanzaJet Stock - Forge,"Deerfield, IL, United States",Energy,Other Energy,2020,,NA
https://forgeglobal.com/lanzatech_stock/,Access LanzaTech Stock and Financial Details - Forge,"Stokie, IL, United States",Energy,Clean Energy,2007,,"Basf Venture Capital, Khosla Ventures, Mitsui & Company, Novo Holdings"
https://forgeglobal.com/lark-technologies_stock/,Invest and Sell Lark Stock - Forge,"Mountain View, CA, United States",Healthcare,Digital Health,2011,,"Omron Ventures, Lateral Capital Management, Samsung Next Ventures, Olive Tree Capital, Tuesday Capital, Lightspeed Venture Partners, Startx (Stanford-Startx Fund), King River Capital, Deerfield Management, Golden Seeds, Otter Rock Capital, Castlepeak, Pegasus Tech Ventures, Plug & Play Tech Center, Seven Seas Partners, Breakaway Ventures, Bcm Ventures, A&E Investments, Ipd Capital, Steelsky Ventures"
https://forgeglobal.com/laronde_stock/,Access Sail Biomedicines Stock and Financial Details - Forge,"Cambridge, MA, United States",Healthcare,Biotech & Pharma,2017,,NA
https://forgeglobal.com/laser-light-communications_stock/,Invest and Sell Laser Light Communications Stock - Forge,"Reston, VA, United States",Enterprise Software,Cloud /​ Networking Infrastructure,2012,,NA
https://forgeglobal.com/last-energy_stock/,Invest and Sell Last Energy Stock - Forge,"Washington, DC, United States",Energy,Clean Energy,2019,,"Impactassets, Gigafund, Microsoft, Quiet Capital, London Technology Club, First Round Capital, Armada Investment, Ducontra Ventures, Ultranative, Floodgate"
https://forgeglobal.com/lastline_stock/,Invest and Sell Lastline Stock - Forge,"San Mateo, CA, United States",Enterprise Software,Cybersecurity,2011,,NA
https://forgeglobal.com/latch_stock/,Access Latch Stock and Financial Details - Forge,"New York, NY, United States",Consumer & Lifestyle,Consumer Electronics,2014,,NA
https://forgeglobal.com/latent_stock/,Invest and Sell Latent Stock - Forge,"San Francisco, CA, United States",Healthcare,Other Healthcare,2022,,NA
https://forgeglobal.com/latigo-bio_stock/,Invest and Sell Latigo Bio Stock - Forge,"Thousand Oaks, CA, United States",Healthcare,Biotech & Pharma,2018,,NA
https://forgeglobal.com/latitude_stock/,Invest and Sell Latitude Stock - Forge,"Dover, DE, United States",Consumer & Lifestyle,Gaming,2019,,"Coho Deeptech, Griffin Gaming Partners, Album Vc, Nfx"
